Country,Year,GDP
Albania,2015,11.387
Albania,2016,11.861
Albania,2017,13.02
Albania,2018,15.156
Albania,2019,15.402
Albania,2020,15.163
Albania,2021,17.931
Albania,2022,18.916
Albania,2023,23.032
Andorra,2015,2.79
Andorra,2016,2.897
Andorra,2017,3
Andorra,2018,3.218
Andorra,2019,3.155
Andorra,2020,2.891
Andorra,2021,3.325
Andorra,2022,3.352
Andorra,2023,3.692
Austria,2015,381.971
Austria,2016,395.837
Austria,2017,417.261
Austria,2018,454.991
Austria,2019,444.596
Austria,2020,435.049
Austria,2021,479.295
Austria,2022,470.942
Austria,2023,526.182
Belarus,2015,56.455
Belarus,2016,47.724
Belarus,2017,54.725
Belarus,2018,60.031
Belarus,2019,64.41
Belarus,2020,61.372
Belarus,2021,69.674
Belarus,2022,72.793
Belarus,2023,68.864
Belgium,2015,462.336
Belgium,2016,476.063
Belgium,2017,502.765
Belgium,2018,543.299
Belgium,2019,535.866
Belgium,2020,526.264
Belgium,2021,600.749
Belgium,2022,583.436
Belgium,2023,627.511
Bosnia and Herzegovina,2015,16.404
Bosnia and Herzegovina,2016,17.117
Bosnia and Herzegovina,2017,18.326
Bosnia and Herzegovina,2018,20.484
Bosnia and Herzegovina,2019,20.483
Bosnia and Herzegovina,2020,20.226
Bosnia and Herzegovina,2021,23.65
Bosnia and Herzegovina,2022,24.474
Bosnia and Herzegovina,2023,26.945
Bulgaria,2015,50.812
Bulgaria,2016,53.964
Bulgaria,2017,59.31
Bulgaria,2018,66.37
Bulgaria,2019,68.881
Bulgaria,2020,70.369
Bulgaria,2021,84.041
Bulgaria,2022,90.346
Bulgaria,2023,103.099
Croatia,2015,50.857
Croatia,2016,52.513
Croatia,2017,56.062
Croatia,2018,61.481
Croatia,2019,61.47
Croatia,2020,57.76
Croatia,2021,69.081
Croatia,2022,71.6
Croatia,2023,80.185
Cyprus,2015,19.842
Cyprus,2016,20.953
Cyprus,2017,22.871
Cyprus,2018,25.523
Cyprus,2019,25.947
Cyprus,2020,25.227
Cyprus,2021,29.483
Cyprus,2022,29.251
Cyprus,2023,32.032
Czechia,2015,188.033
Czechia,2016,196.272
Czechia,2017,218.629
Czechia,2018,249.001
Czechia,2019,252.548
Czechia,2020,245.975
Czechia,2021,281.791
Czechia,2022,290.566
Czechia,2023,335.243
Denmark,2015,302.673
Denmark,2016,313.116
Denmark,2017,332.121
Denmark,2018,356.841
Denmark,2019,346.499
Denmark,2020,354.763
Denmark,2021,405.688
Denmark,2022,400.167
Denmark,2023,420.8
Estonia,2015,22.891
Estonia,2016,24.073
Estonia,2017,26.924
Estonia,2018,30.625
Estonia,2019,31.082
Estonia,2020,31.37
Estonia,2021,37.191
Estonia,2022,38.101
Estonia,2023,41.799
Faroe Islands,2015,2.574
Faroe Islands,2016,2.813
Faroe Islands,2017,2.98
Faroe Islands,2018,3.189
Faroe Islands,2019,3.266
Faroe Islands,2020,3.262
Faroe Islands,2021,3.655
Faroe Islands,2022,3.556
Faroe Islands,2023,3.745
Finland,2015,234.534
Finland,2016,240.771
Finland,2017,255.648
Finland,2018,275.708
Finland,2019,268.515
Finland,2020,271.886
Finland,2021,296.47
Finland,2022,282.65
Finland,2023,305.689
France,2015,2439.189
France,2016,2472.964
France,2017,2595.151
France,2018,2790.957
France,2019,2728.87
France,2020,2647.419
France,2021,2959.356
France,2022,2779.092
France,2023,3049.016
Germany,2015,3357.586
Germany,2016,3469.853
Germany,2017,3690.849
Germany,2018,3974.443
Germany,2019,3889.178
Germany,2020,3887.727
