Country,Group_Technology,Technology,RE_or_Non_RE,Year,Electricity_Installed_Capacity__MW_
Albania,Bioenergy,Renewable municipal waste,Total Renewable,2017,1.425
Albania,Bioenergy,Renewable municipal waste,Total Renewable,2018,1.425
Albania,Bioenergy,Renewable municipal waste,Total Renewable,2019,1.425
Albania,Bioenergy,Renewable municipal waste,Total Renewable,2020,1.425
Albania,Bioenergy,Renewable municipal waste,Total Renewable,2021,1.425
Albania,Bioenergy,Renewable municipal waste,Total Renewable,2022,1.425
Albania,Bioenergy,Renewable municipal waste,Total Renewable,2023,1.425
Albania,Fossil fuels,Oil,Total Non-Renewable,2015,98.0
Albania,Fossil fuels,Oil,Total Non-Renewable,2016,98.0
Albania,Fossil fuels,Oil,Total Non-Renewable,2017,98.0
Albania,Fossil fuels,Oil,Total Non-Renewable,2018,98.0
Albania,Fossil fuels,Oil,Total Non-Renewable,2019,98.0
Albania,Fossil fuels,Oil,Total Non-Renewable,2020,97.0
Albania,Fossil fuels,Oil,Total Non-Renewable,2021,97.0
Albania,Fossil fuels,Oil,Total Non-Renewable,2022,97.0
Albania,Fossil fuels,Oil,Total Non-Renewable,2023,97.0
Albania,Solar energy,Solar photovoltaic,Total Renewable,2015,1.05
Albania,Solar energy,Solar photovoltaic,Total Renewable,2016,1.0
Albania,Solar energy,Solar photovoltaic,Total Renewable,2017,1.0
Albania,Solar energy,Solar photovoltaic,Total Renewable,2018,1.0
Albania,Solar energy,Solar photovoltaic,Total Renewable,2019,14.0
Albania,Solar energy,Solar photovoltaic,Total Renewable,2020,21.0
Albania,Solar energy,Solar photovoltaic,Total Renewable,2021,23.0
Albania,Solar energy,Solar photovoltaic,Total Renewable,2022,23.0
Albania,Solar energy,Solar photovoltaic,Total Renewable,2023,163.0
Albania,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2017,1.425
Albania,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2018,1.425
Albania,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2015,1798.0
Albania,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2016,1913.0
Albania,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2017,2047.0
Albania,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2018,2105.0
Albania,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2019,2162.0
Albania,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2020,2387.0
Albania,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2021,2507.0
Albania,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2022,2493.0
Albania,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2023,2493.0
Andorra,Bioenergy,Renewable municipal waste,Total Renewable,2015,5.0
Andorra,Bioenergy,Renewable municipal waste,Total Renewable,2016,5.0
Andorra,Bioenergy,Renewable municipal waste,Total Renewable,2017,5.0
Andorra,Bioenergy,Renewable municipal waste,Total Renewable,2018,5.0
Andorra,Bioenergy,Renewable municipal waste,Total Renewable,2019,5.0
Andorra,Bioenergy,Renewable municipal waste,Total Renewable,2020,5.0
Andorra,Bioenergy,Renewable municipal waste,Total Renewable,2021,5.0
Andorra,Bioenergy,Renewable municipal waste,Total Renewable,2022,5.0
Andorra,Bioenergy,Renewable municipal waste,Total Renewable,2023,5.0
Andorra,Fossil fuels,Natural gas,Total Non-Renewable,2016,2.0
Andorra,Fossil fuels,Natural gas,Total Non-Renewable,2017,1.7
Andorra,Fossil fuels,Natural gas,Total Non-Renewable,2018,1.7
Andorra,Fossil fuels,Natural gas,Total Non-Renewable,2019,1.7
Andorra,Fossil fuels,Natural gas,Total Non-Renewable,2020,1.7
Andorra,Fossil fuels,Natural gas,Total Non-Renewable,2021,1.7
Andorra,Fossil fuels,Natural gas,Total Non-Renewable,2022,1.7
